Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
CARD_PAYMENT,Current,2026-01-05 08:12:45,2026-01-05 08:12:45,Spotify AB,-9.99,0,EUR,COMPLETED,842.31
CARD_PAYMENT,Current,2026-01-07 19:04:11,2026-01-07 19:04:11,Netflix.com,-13.49,0,EUR,COMPLETED,828.82
CARD_PAYMENT,Current,2026-01-10 12:33:27,2026-01-10 12:33:27,Billa,-23.80,0,EUR,COMPLETED,805.02
CARD_PAYMENT,Current,2026-01-12 10:15:00,2026-01-12 10:15:00,OpenAI ChatGPT,-20.00,0,EUR,COMPLETED,785.02
CARD_PAYMENT,Current,2026-01-14 07:50:14,2026-01-14 07:50:14,Starbucks Prague,-5.20,0,EUR,COMPLETED,779.82
CARD_PAYMENT,Current,2026-01-15 09:03:00,2026-01-15 09:03:00,Apple iCloud,-2.99,0,EUR,COMPLETED,776.83
CARD_PAYMENT,Current,2026-01-18 22:11:03,2026-01-18 22:11:03,Disney Plus,-8.99,0,EUR,COMPLETED,767.84
CARD_PAYMENT,Current,2026-01-20 14:22:30,2026-01-20 14:22:30,Figma Inc,-12.00,0,EUR,COMPLETED,755.84
CARD_PAYMENT,Current,2026-01-22 18:40:11,2026-01-22 18:40:11,Lidl,-41.25,0,EUR,COMPLETED,714.59
CARD_PAYMENT,Current,2026-01-25 11:00:00,2026-01-25 11:00:00,GitHub Inc,-4.00,0,EUR,COMPLETED,710.59
CARD_PAYMENT,Current,2026-01-28 16:34:22,2026-01-28 16:34:22,Shell,-62.10,0,EUR,COMPLETED,648.49
TOPUP,Current,2026-01-31 23:59:00,2026-02-01 00:01:12,Salary,2300.00,0,EUR,COMPLETED,2948.49
CARD_PAYMENT,Current,2026-02-05 08:09:18,2026-02-05 08:09:18,Spotify AB,-9.99,0,EUR,COMPLETED,2938.50
CARD_PAYMENT,Current,2026-02-07 20:15:07,2026-02-07 20:15:07,Netflix.com,-13.49,0,EUR,COMPLETED,2925.01
CARD_PAYMENT,Current,2026-02-11 13:04:00,2026-02-11 13:04:00,Albert,-32.47,0,EUR,COMPLETED,2892.54
CARD_PAYMENT,Current,2026-02-12 09:01:33,2026-02-12 09:01:33,OpenAI ChatGPT,-20.00,0,EUR,COMPLETED,2872.54
CARD_PAYMENT,Current,2026-02-15 09:02:10,2026-02-15 09:02:10,Apple iCloud,-2.99,0,EUR,COMPLETED,2869.55
CARD_PAYMENT,Current,2026-02-17 21:03:44,2026-02-17 21:03:44,Disney Plus,-8.99,0,EUR,COMPLETED,2860.56
CARD_PAYMENT,Current,2026-02-19 07:22:00,2026-02-19 07:22:00,McDonalds,-8.90,0,EUR,COMPLETED,2851.66
CARD_PAYMENT,Current,2026-02-20 14:21:15,2026-02-20 14:21:15,Figma Inc,-12.00,0,EUR,COMPLETED,2839.66
CARD_PAYMENT,Current,2026-02-24 11:48:00,2026-02-24 11:48:00,Amazon Prime,-4.99,0,EUR,COMPLETED,2834.67
CARD_PAYMENT,Current,2026-02-25 10:10:00,2026-02-25 10:10:00,GitHub Inc,-4.00,0,EUR,COMPLETED,2830.67
CARD_PAYMENT,Current,2026-02-27 17:30:02,2026-02-27 17:30:02,Shell,-58.40,0,EUR,COMPLETED,2772.27
TOPUP,Current,2026-02-28 23:59:00,2026-03-01 00:02:00,Salary,2300.00,0,EUR,COMPLETED,5072.27
CARD_PAYMENT,Current,2026-03-05 08:11:50,2026-03-05 08:11:50,Spotify AB,-9.99,0,EUR,COMPLETED,5062.28
CARD_PAYMENT,Current,2026-03-07 19:45:00,2026-03-07 19:45:00,Netflix.com,-13.49,0,EUR,COMPLETED,5048.79
CARD_PAYMENT,Current,2026-03-09 13:00:00,2026-03-09 13:00:00,Kaufland,-54.88,0,EUR,COMPLETED,4993.91
CARD_PAYMENT,Current,2026-03-12 09:05:00,2026-03-12 09:05:00,OpenAI ChatGPT,-20.00,0,EUR,COMPLETED,4973.91
CARD_PAYMENT,Current,2026-03-15 09:00:55,2026-03-15 09:00:55,Apple iCloud,-2.99,0,EUR,COMPLETED,4970.92
CARD_PAYMENT,Current,2026-03-18 22:02:18,2026-03-18 22:02:18,Disney Plus,-8.99,0,EUR,COMPLETED,4961.93
CARD_PAYMENT,Current,2026-03-20 14:20:00,2026-03-20 14:20:00,Figma Inc,-12.00,0,EUR,COMPLETED,4949.93
CARD_PAYMENT,Current,2026-03-22 11:11:00,2026-03-22 11:11:00,Notion Labs,-10.00,0,EUR,COMPLETED,4939.93
CARD_PAYMENT,Current,2026-03-24 11:30:00,2026-03-24 11:30:00,Amazon Prime,-4.99,0,EUR,COMPLETED,4934.94
CARD_PAYMENT,Current,2026-03-25 09:55:00,2026-03-25 09:55:00,GitHub Inc,-4.00,0,EUR,COMPLETED,4930.94
CARD_PAYMENT,Current,2026-03-29 16:50:10,2026-03-29 16:50:10,OMV,-61.20,0,EUR,COMPLETED,4869.74
TOPUP,Current,2026-03-31 23:59:00,2026-04-01 00:01:30,Salary,2300.00,0,EUR,COMPLETED,7169.74
CARD_PAYMENT,Current,2026-04-05 08:14:12,2026-04-05 08:14:12,Spotify AB,-9.99,0,EUR,COMPLETED,7159.75
CARD_PAYMENT,Current,2026-04-07 20:02:44,2026-04-07 20:02:44,Netflix.com,-13.49,0,EUR,COMPLETED,7146.26
CARD_PAYMENT,Current,2026-04-10 12:45:00,2026-04-10 12:45:00,Billa,-29.10,0,EUR,COMPLETED,7117.16
CARD_PAYMENT,Current,2026-04-12 09:02:00,2026-04-12 09:02:00,OpenAI ChatGPT,-20.00,0,EUR,COMPLETED,7097.16
